CHARGE_FILING_DATE,CP_SEX,CP_NATIONAL_ORIGIN,CP_DOB,HISPANIC_CP,CP_RACE_STRING,R_NAICS_CODE,R_NAICS_DESCRIPTION,R_NUMBER_OF_EMPLOYEES,R_TYPE
May/14/1997 ,Female,Hispanic - Obsolete,NULL,NULL,W,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,15 - 100 Employees,Private Employer
May/14/1997 ,Female,Other National Origin - Obsolete,Oct/17/1969 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
May/14/1997 ,Male,Other National Origin - Obsolete,Dec/04/1949 ,NULL,B,336399,All Other Motor Vehicle Parts Manufacturing,501+ Employees,Private Employer
May/14/1997 ,Female,Hispanic - Obsolete,May/25/1941 ,NULL,O,523991,"Trust, Fiduciary, and Custody Activities",101 - 200 Employees,Private Employer
May/14/1997 ,Female,Other National Origin - Obsolete,Sep/22/1964 ,NULL,W,921190,Other General Government Support,501+ Employees,State/Local Govt
May/14/1997 ,Female,Hispanic - Obsolete,Sep/30/1964 ,NULL,O,NULL,NULL,501+ Employees,Private Employer
May/15/1997 ,Female,Other National Origin - Obsolete,Jun/10/1957 ,NULL,W,922190,"Other Justice, Public Order, and Safety Activities",15 - 100 Employees,State/Local Govt
May/15/1997 ,Female,Other National Origin - Obsolete,Jul/29/1960 ,NULL,W,722110,Full-Service Restaurants,501+ Employees,Private Employer
May/15/1997 ,Female,Other National Origin - Obsolete,Mar/19/1962 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
May/15/1997 ,Female,Other National Origin - Obsolete,May/04/1969 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
May/15/1997 ,Female,Other National Origin - Obsolete,Mar/03/1958 ,NULL,W,236116,New Multifamily Housing Construction (except Operative Builders),501+ Employees,Private Employer
May/15/1997 ,Female,Other National Origin - Obsolete,Dec/19/1969 ,NULL,W,314110,Carpet and Rug Mills,101 - 200 Employees,Private Employer
May/16/1997 ,Female,Other National Origin - Obsolete,Nov/12/1976 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
May/16/1997 ,Female,Other National Origin - Obsolete,Feb/20/1954 ,NULL,W,623110,Nursing Care Facilities,15 - 100 Employees,Private Employer
May/16/1997 ,Female,Other National Origin - Obsolete,Mar/04/1966 ,NULL,W,722110,Full-Service Restaurants,501+ Employees,Private Employer
May/16/1997 ,Female,Other National Origin - Obsolete,Aug/08/1968 ,NULL,W,524114,Direct Health and Medical Insurance Carriers,Unknown Number Of Employees,Private Employer
May/16/1997 ,Female,Hispanic - Obsolete,May/23/1958 ,NULL,W,921140,"Executive and Legislative Offices, Combined",15 - 100 Employees,Private Employer
May/16/1997 ,Male,Other National Origin - Obsolete,Apr/07/1951 ,NULL,W,488999,All Other Support Activities for Transportation,101 - 200 Employees,Private Employer
May/19/1997 ,Female,Other National Origin - Obsolete,Dec/24/1977 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
May/19/1997 ,Male,Other National Origin - Obsolete,Feb/23/1956 ,NULL,W,441110,New Car Dealers,101 - 200 Employees,Private Employer
May/19/1997 ,Female,Other National Origin - Obsolete,Feb/12/1968 ,NULL,W,452910,Warehouse Clubs and Supercenters,501+ Employees,Private Employer
May/19/1997 ,Female,Other National Origin - Obsolete,Feb/12/1963 ,NULL,W,722110,Full-Service Restaurants,501+ Employees,Private Employer
May/20/1997 ,Female,Other National Origin - Obsolete,Apr/28/1966 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
May/20/1997 ,Female,Other National Origin - Obsolete,Apr/27/1952 ,NULL,W,331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),101 - 200 Employees,Private Employer
May/20/1997 ,Female,Other National Origin - Obsolete,Jan/22/1962 ,NULL,W,921130,Public Finance Activities,15 - 100 Employees,Private Employer
May/20/1997 ,Female,Other National Origin - Obsolete,Jun/03/1955 ,NULL,W,611310,"Colleges, Universities, and Professional Schools",Unknown Number Of Employees,Public College/University
May/20/1997 ,Female,Other National Origin - Obsolete,Dec/07/1957 ,NULL,B,339999,All Other Miscellaneous Manufacturing,201 - 500 Employees,Private Employer
May/20/1997 ,Female,Other National Origin - Obsolete,NULL,NULL,W,713990,All Other Amusement and Recreation Industries,101 - 200 Employees,Private Employer
May/21/1997 ,Male,Other National Origin - Obsolete,Nov/10/1968 ,NULL,W,447190,Other Gasoline Stations,15 - 100 Employees,Private Employer
May/21/1997 ,Female,Other National Origin - Obsolete,May/20/1950 ,NULL,A,331111,Iron and Steel Mills,101 - 200 Employees,Private Employer
May/21/1997 ,Female,Other National Origin - Obsolete,Jun/14/1966 ,NULL,W,452990,All Other General Merchandise Stores,501+ Employees,Private Employer
May/21/1997 ,Female,Other National Origin - Obsolete,Jun/28/1970 ,NULL,W,493110,General Warehousing and Storage,15 - 100 Employees,Private Employer
May/21/1997 ,Female,Other National Origin - Obsolete,Mar/26/1974 ,NULL,W,493110,General Warehousing and Storage,15 - 100 Employees,Private Employer
May/21/1997 ,Male,Other National Origin - Obsolete,NULL,NULL,W,517910,Other Telecommunications,501+ Employees,Private Employer
May/21/1997 ,Female,Other National Origin - Obsolete,Dec/19/1965 ,NULL,W,336999,All Other Transportation Equipment Manufacturing,501+ Employees,Private Employer
May/21/1997 ,Female,Other National Origin - Obsolete,Apr/10/1977 ,NULL,W,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),15 - 100 Employees,Private Employer
May/21/1997 ,Female,Other National Origin - Obsolete,May/15/1958 ,NULL,B,NULL,NULL,201 - 500 Employees,Private College/University (Inactive Code)
May/22/1997 ,Female,Other National Origin - Obsolete,Feb/04/1951 ,NULL,B,491110,Postal Service,15 - 100 Employees,Private Employer
May/22/1997 ,Female,Other National Origin - Obsolete,Jan/15/1955 ,NULL,B,621999,All Other Miscellaneous Ambulatory Health Care Services,501+ Employees,State/Local Govt
May/23/1997 ,Female,Other National Origin - Obsolete,Apr/05/1971 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
May/23/1997 ,Female,Other National Origin - Obsolete,Mar/01/1971 ,NULL,W,488190,Other Support Activities for Air Transportation,501+ Employees,Private Employer
May/23/1997 ,Female,Other National Origin - Obsolete,Mar/24/1967 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
May/23/1997 ,Female,Other National Origin - Obsolete,Sep/14/1979 ,NULL,O,452990,All Other General Merchandise Stores,15 - 100 Employees,Private Employer
May/23/1997 ,Female,Other National Origin - Obsolete,Aug/25/1956 ,NULL,B,485210,Interurban and Rural Bus Transportation,501+ Employees,Private Employer
May/23/1997 ,Female,Other National Origin - Obsolete,Jul/02/1970 ,NULL,B,485210,Interurban and Rural Bus Transportation,501+ Employees,Private Employer
May/26/1997 ,Female,Other National Origin - Obsolete,May/24/1959 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
May/27/1997 ,Female,Other National Origin - Obsolete,NULL,NULL,W,331111,Iron and Steel Mills,501+ Employees,Private Employer
May/27/1997 ,Female,Other National Origin - Obsolete,Jun/15/1957 ,NULL,W,525190,Other Insurance Funds,15 - 100 Employees,Private Employer
May/27/1997 ,Female,Other National Origin - Obsolete,Jul/29/1966 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
May/27/1997 ,Female,Other National Origin - Obsolete,May/04/1958 ,NULL,B,561439,Other Business Service Centers (including Copy Shops),501+ Employees,Private Employer
May/28/1997 ,Female,Other National Origin - Obsolete,Jul/13/1962 ,NULL,B,541990,"All Other Professional, Scientific, and Technical Services",201 - 500 Employees,Private Employer
May/28/1997 ,Male,Other National Origin - Obsolete,May/11/1953 ,NULL,B,721110,Hotels (except Casino Hotels) and Motels,501+ Employees,Private Employer
May/29/1997 ,Male,Other National Origin - Obsolete,Mar/23/1959 ,NULL,W,532230,Video Tape and Disc Rental,15 - 100 Employees,Private Employer
May/29/1997 ,Female,Hispanic - Obsolete,Jan/08/1972 ,NULL,O,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
May/29/1997 ,Female,Other National Origin - Obsolete,Apr/10/1960 ,NULL,O,541990,"All Other Professional, Scientific, and Technical Services",101 - 200 Employees,Private Employer
May/30/1997 ,Female,Other National Origin - Obsolete,Apr/25/1975 ,NULL,W,517310,Telecommunications Resellers,15 - 100 Employees,Private Employer
May/30/1997 ,Female,Other National Origin - Obsolete,Feb/23/1971 ,NULL,W,541990,"All Other Professional, Scientific, and Technical Services",501+ Employees,Private Employer
May/30/1997 ,Female,Other National Origin - Obsolete,Dec/03/1956 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
May/30/1997 ,Female,Other National Origin - Obsolete,Jan/13/1967 ,NULL,O,445210,Meat Markets,501+ Employees,Private Employer
Jun/02/1997 ,Female,Other National Origin - Obsolete,Mar/08/1969 ,NULL,W,561499,All Other Business Support Services,15 - 100 Employees,Private Employer
Jun/02/1997 ,Female,Other National Origin - Obsolete,Nov/12/1952 ,NULL,W,623990,Other Residential Care Facilities,501+ Employees,Private Employer
Jun/02/1997 ,Female,Other National Origin - Obsolete,Jan/01/1940 ,NULL,O,447190,Other Gasoline Stations,15 - 100 Employees,Private Employer
