CHARGE_FILING_DATE,CP_SEX,CP_NATIONAL_ORIGIN,CP_DOB,HISPANIC_CP,CP_RACE_STRING,R_NAICS_CODE,R_NAICS_DESCRIPTION,R_NUMBER_OF_EMPLOYEES,R_TYPE
Feb/09/1998 ,Female,Other National Origin - Obsolete,Jun/06/1963 ,NULL,W,236220,Commercial and Institutional Building Construction,15 - 100 Employees,Private Employer
Feb/09/1998 ,Female,Other National Origin - Obsolete,Nov/26/1956 ,NULL,W,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,15 - 100 Employees,Private Employer
Feb/09/1998 ,Female,Other National Origin - Obsolete,May/29/1961 ,NULL,B,561499,All Other Business Support Services,501+ Employees,Private Employer
Feb/09/1998 ,Female,Other National Origin - Obsolete,Feb/26/1955 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Feb/09/1998 ,Female,Other National Origin - Obsolete,Sep/10/1971 ,NULL,B,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
Feb/10/1998 ,Female,Other National Origin - Obsolete,Jun/01/1951 ,NULL,B,488190,Other Support Activities for Air Transportation,501+ Employees,Private Employer
Feb/10/1998 ,Female,Other National Origin - Obsolete,Sep/27/1959 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Feb/10/1998 ,Female,Other National Origin - Obsolete,Oct/07/1974 ,NULL,W,524298,All Other Insurance Related Activities,501+ Employees,Private Employer
Feb/10/1998 ,Female,Other National Origin - Obsolete,May/03/1962 ,NULL,B,921120,Legislative Bodies,501+ Employees,State/Local Govt
Feb/10/1998 ,Female,Other National Origin - Obsolete,Jan/23/1939 ,NULL,NULL,422210,Drugs and Druggists' Sundries Wholesalers,15 - 100 Employees,Private Employer
Feb/10/1998 ,Female,Other National Origin - Obsolete,Jul/25/1976 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Feb/10/1998 ,Female,Other National Origin - Obsolete,Aug/31/1973 ,NULL,O,NULL,NULL,101 - 200 Employees,Private Employer
Feb/10/1998 ,Female,Other National Origin - Obsolete,Aug/23/1972 ,NULL,W,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",15 - 100 Employees,Private Employer
Feb/10/1998 ,Female,Other National Origin - Obsolete,Sep/24/1958 ,NULL,B,334119,Other Computer Peripheral Equipment Manufacturing,501+ Employees,Private Employer
Feb/11/1998 ,Female,Other National Origin - Obsolete,Jul/17/1965 ,NULL,B,921190,Other General Government Support,501+ Employees,State/Local Govt
Feb/11/1998 ,Female,Other National Origin - Obsolete,Sep/12/1976 ,NULL,O,NULL,NULL,501+ Employees,Private Employer
Feb/11/1998 ,Female,Other National Origin - Obsolete,Feb/27/1942 ,NULL,W,721110,Hotels (except Casino Hotels) and Motels,Unknown Number Of Employees,Private Employer
Feb/11/1998 ,Female,Other National Origin - Obsolete,Oct/30/1964 ,NULL,W,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",501+ Employees,Private Employer
Feb/12/1998 ,Male,Other National Origin - Obsolete,Mar/24/1964 ,NULL,B,722110,Full-Service Restaurants,501+ Employees,Private Employer
Feb/12/1998 ,Female,Mexican - Obsolete,NULL,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Feb/12/1998 ,Female,Other National Origin - Obsolete,Mar/11/1964 ,NULL,W,NULL,NULL,101 - 200 Employees,Private Employer
Feb/12/1998 ,Female,Other National Origin - Obsolete,Aug/29/1960 ,NULL,W,525190,Other Insurance Funds,501+ Employees,Private Employer
Feb/13/1998 ,Male,Other National Origin - Obsolete,Jun/18/1973 ,NULL,W,531190,Lessors of Other Real Estate Property,15 - 100 Employees,Private Employer
Feb/13/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,O,926120,Regulation and Administration of Transportation Programs,101 - 200 Employees,State/Local Govt
Feb/13/1998 ,Female,Other National Origin - Obsolete,Jan/20/1971 ,NULL,O,812990,All Other Personal Services,501+ Employees,Private Employer
Feb/13/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Feb/15/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,W,722110,Full-Service Restaurants,501+ Employees,Private Employer
Feb/17/1998 ,Female,Hispanic - Obsolete,Jun/01/1965 ,NULL,O,921190,Other General Government Support,201 - 500 Employees,Private Employer
Feb/17/1998 ,Female,Other National Origin - Obsolete,Feb/06/1965 ,NULL,W,621999,All Other Miscellaneous Ambulatory Health Care Services,501+ Employees,Private Employer
Feb/12/1998 ,Male,Other National Origin - Obsolete,Jul/10/1953 ,NULL,W,NULL,NULL,101 - 200 Employees,Private Employer
Feb/13/1998 ,Female,Other National Origin - Obsolete,Jan/01/1998 ,NULL,W,561499,All Other Business Support Services,15 - 100 Employees,Private Employer
Feb/17/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Feb/17/1998 ,Female,Other National Origin - Obsolete,Jul/01/1957 ,NULL,W,NULL,NULL,101 - 200 Employees,Private Employer
Feb/18/1998 ,Female,Other National Origin - Obsolete,Mar/24/1967 ,NULL,W,622110,General Medical and Surgical Hospitals,501+ Employees,Private Employer
Feb/18/1998 ,Male,Other National Origin - Obsolete,Aug/22/1957 ,NULL,W,311999,All Other Miscellaneous Food Manufacturing,101 - 200 Employees,Private Employer
Feb/18/1998 ,Female,Other National Origin - Obsolete,Oct/30/1962 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Feb/18/1998 ,Female,Other National Origin - Obsolete,Feb/01/1977 ,NULL,W,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,15 - 100 Employees,Private Employer
Feb/18/1998 ,Female,Other National Origin - Obsolete,Dec/09/1966 ,NULL,O,336399,All Other Motor Vehicle Parts Manufacturing,15 - 100 Employees,Private Employer
Feb/19/1998 ,Female,Other National Origin - Obsolete,Feb/12/1981 ,NULL,W,448210,Shoe Stores,501+ Employees,Private Employer
Feb/19/1998 ,Female,Other National Origin - Obsolete,Aug/10/1963 ,NULL,B,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Feb/19/1998 ,Male,Other National Origin - Obsolete,Feb/17/1976 ,NULL,I,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
Feb/20/1998 ,Female,Other National Origin - Obsolete,Nov/12/1965 ,NULL,W,452990,All Other General Merchandise Stores,501+ Employees,Private Employer
Feb/20/1998 ,Female,Other National Origin - Obsolete,Sep/23/1969 ,NULL,B,485410,School and Employee Bus Transportation,201 - 500 Employees,State/Local Govt
Feb/20/1998 ,Female,Other National Origin - Obsolete,Dec/06/1947 ,NULL,W,522110,Commercial Banking,501+ Employees,Private Employer
Feb/20/1998 ,Male,Other National Origin - Obsolete,Jul/22/1945 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Feb/21/1998 ,Female,Other National Origin - Obsolete,Apr/29/1957 ,NULL,W,336999,All Other Transportation Equipment Manufacturing,15 - 100 Employees,Private Employer
Feb/23/1998 ,Female,Other National Origin - Obsolete,Apr/03/1967 ,NULL,B,611310,"Colleges, Universities, and Professional Schools",15 - 100 Employees,Public College/University
Feb/23/1998 ,Male,Other National Origin - Obsolete,Aug/02/1965 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Feb/23/1998 ,Female,Other National Origin - Obsolete,Aug/13/1964 ,NULL,W,722110,Full-Service Restaurants,101 - 200 Employees,Private Employer
Feb/23/1998 ,Female,Other National Origin - Obsolete,Jul/18/1950 ,NULL,B,421120,Motor Vehicle Supplies and New Parts Wholesalers,501+ Employees,Private Employer
Feb/23/1998 ,Male,Other National Origin - Obsolete,Dec/01/1963 ,NULL,B,236117,New Housing Operative Builders,201 - 500 Employees,Private Employer
Feb/23/1998 ,Male,Other National Origin - Obsolete,Jun/16/1968 ,NULL,B,NULL,NULL,NULL,Private Employer
Feb/24/1998 ,Female,Hispanic - Obsolete,Jul/16/1973 ,NULL,O,722110,Full-Service Restaurants,501+ Employees,Private Employer
Feb/24/1998 ,Female,Other National Origin - Obsolete,Sep/01/1967 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Feb/24/1998 ,Female,Other National Origin - Obsolete,Mar/05/1957 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Feb/24/1998 ,Female,Other National Origin - Obsolete,Feb/10/1967 ,NULL,W,926110,Administration of General Economic Programs,501+ Employees,State/Local Govt
Feb/24/1998 ,Female,Other National Origin - Obsolete,Mar/31/1954 ,NULL,O,NULL,NULL,501+ Employees,Private Employer
Feb/24/1998 ,Female,Other National Origin - Obsolete,Feb/28/1962 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Feb/25/1998 ,Female,Other National Origin - Obsolete,Dec/29/1956 ,NULL,B,445299,All Other Specialty Food Stores,201 - 500 Employees,Private Employer
Feb/25/1998 ,Female,Hispanic - Obsolete,Jun/09/1978 ,NULL,W,NULL,NULL,201 - 500 Employees,Private Employer
Feb/25/1998 ,Female,Other National Origin - Obsolete,Jun/11/1960 ,NULL,W,522110,Commercial Banking,Unknown Number Of Employees,Private Employer
Feb/25/1998 ,Female,Other National Origin - Obsolete,Jan/01/1975 ,NULL,W,445299,All Other Specialty Food Stores,15 - 100 Employees,Private Employer
Feb/25/1998 ,Female,Other National Origin - Obsolete,Aug/02/1958 ,NULL,O,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
Feb/26/1998 ,Female,Other National Origin - Obsolete,Feb/16/1945 ,NULL,W,441229,All Other Motor Vehicle Dealers,101 - 200 Employees,Private Employer
Feb/26/1998 ,Female,Other National Origin - Obsolete,Mar/25/1959 ,NULL,W,238210,Electrical Contractors and Other Wiring Installation Contractors,501+ Employees,Private Employer
Feb/27/1998 ,Female,Other National Origin - Obsolete,Jul/24/1959 ,NULL,W,517310,Telecommunications Resellers,501+ Employees,Private Employer
Feb/27/1998 ,Female,Other National Origin - Obsolete,Feb/14/1979 ,NULL,B,522291,Consumer Lending,15 - 100 Employees,Private Employer
Mar/02/1998 ,Female,Other National Origin - Obsolete,Apr/20/1966 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Mar/02/1998 ,Female,Other National Origin - Obsolete,Sep/29/1976 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Mar/02/1998 ,Female,Other National Origin - Obsolete,Aug/07/1969 ,NULL,O,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
Mar/02/1998 ,Female,Other National Origin - Obsolete,Jul/09/1973 ,NULL,W,325188,All Other Basic Inorganic Chemical Manufacturing,501+ Employees,Private Employer
Mar/02/1998 ,Female,Other National Origin - Obsolete,Sep/18/1953 ,NULL,W,525190,Other Insurance Funds,501+ Employees,Private Employer
Mar/02/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,W,NULL,NULL,501+ Employees,Private Employer
Mar/02/1998 ,Female,NULL,Mar/19/1953 ,NULL,B,NULL,NULL,501+ Employees,Private Employer
Mar/02/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Mar/02/1998 ,Female,Other National Origin - Obsolete,Jun/22/1958 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Mar/02/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Mar/02/1998 ,Female,Other National Origin - Obsolete,May/12/1947 ,NULL,W,531190,Lessors of Other Real Estate Property,15 - 100 Employees,State/Local Govt
Mar/03/1998 ,Female,Other National Origin - Obsolete,Apr/22/1955 ,NULL,W,441110,New Car Dealers,501+ Employees,Private Employer
Mar/03/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,O,541990,"All Other Professional, Scientific, and Technical Services",Unknown Number Of Employees,Union
Mar/03/1998 ,Female,Other National Origin - Obsolete,May/06/1973 ,NULL,W,441110,New Car Dealers,15 - 100 Employees,Private Employer
Mar/03/1998 ,Female,Other National Origin - Obsolete,Jun/17/1975 ,NULL,B,721110,Hotels (except Casino Hotels) and Motels,15 - 100 Employees,Private Employer
Mar/03/1998 ,Female,Other National Origin - Obsolete,Jan/22/1966 ,NULL,B,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Mar/03/1998 ,Female,Other National Origin - Obsolete,Oct/31/1968 ,NULL,O,236116,New Multifamily Housing Construction (except Operative Builders),Unknown Number Of Employees,Private Employer
Mar/04/1998 ,Female,Other National Origin - Obsolete,Aug/06/1967 ,NULL,W,517910,Other Telecommunications,15 - 100 Employees,Private Employer
Mar/04/1998 ,Male,Other National Origin - Obsolete,Jan/01/1997 ,NULL,O,NULL,NULL,501+ Employees,Private Employer
Mar/04/1998 ,Female,Other National Origin - Obsolete,Jul/30/1972 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Mar/04/1998 ,Female,Other National Origin - Obsolete,Mar/20/1962 ,NULL,B,313210,Broadwoven Fabric Mills,501+ Employees,Private Employer
Mar/05/1998 ,Female,Other National Origin - Obsolete,Sep/30/1965 ,NULL,O,522390,Other Activities Related to Credit Intermediation,15 - 100 Employees,Private Employer
Mar/05/1998 ,Female,Other National Origin - Obsolete,Dec/14/1970 ,NULL,W,441110,New Car Dealers,201 - 500 Employees,Private Employer
Mar/05/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,W,523999,Miscellaneous Financial Investment Activities,501+ Employees,Private Employer
Mar/06/1998 ,Male,Other National Origin - Obsolete,Aug/06/1952 ,NULL,W,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
Mar/06/1998 ,Male,Other National Origin - Obsolete,Mar/24/1953 ,NULL,B,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Mar/06/1998 ,Female,Other National Origin - Obsolete,Jun/06/1961 ,NULL,B,611110,Elementary and Secondary Schools,501+ Employees,State/Local Govt
Mar/06/1998 ,Female,Other National Origin - Obsolete,Dec/01/1977 ,NULL,B,448150,Clothing Accessories Stores,15 - 100 Employees,Private Employer
Mar/07/1998 ,Female,Other National Origin - Obsolete,Aug/05/1977 ,NULL,W,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,15 - 100 Employees,Private Employer
Mar/09/1998 ,Female,Other National Origin - Obsolete,Nov/01/1949 ,NULL,W,611310,"Colleges, Universities, and Professional Schools",501+ Employees,Private Employer
Mar/10/1998 ,Female,Other National Origin - Obsolete,Oct/26/1963 ,NULL,W,452111,Department Stores (except Discount Department Stores),15 - 100 Employees,Private Employer
Mar/10/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,W,722110,Full-Service Restaurants,501+ Employees,Private Employer
Mar/10/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,O,336399,All Other Motor Vehicle Parts Manufacturing,501+ Employees,Private Employer
Mar/11/1998 ,Female,Other National Origin - Obsolete,Sep/08/1979 ,NULL,A,811198,All Other Automotive Repair and Maintenance,15 - 100 Employees,Private Employer
Mar/11/1998 ,Female,Other National Origin - Obsolete,Feb/16/1967 ,NULL,B,922120,Police Protection,501+ Employees,State/Local Govt
Mar/11/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,W,238990,All Other Specialty Trade Contractors,101 - 200 Employees,Private Employer
Mar/11/1998 ,Female,Other National Origin - Obsolete,Jul/15/1974 ,NULL,W,921190,Other General Government Support,Unknown Number Of Employees,State/Local Govt
Mar/11/1998 ,Female,Other National Origin - Obsolete,Oct/11/1961 ,NULL,B,621999,All Other Miscellaneous Ambulatory Health Care Services,101 - 200 Employees,Private Employer
Mar/11/1998 ,Female,Other National Origin - Obsolete,May/10/1971 ,NULL,B,611310,"Colleges, Universities, and Professional Schools",15 - 100 Employees,Private College/University (Inactive Code)
Mar/11/1998 ,Female,Other National Origin - Obsolete,Nov/06/1958 ,NULL,NULL,333999,All Other Miscellaneous General Purpose Machinery Manufacturing,15 - 100 Employees,Private Employer
Mar/12/1998 ,Female,Hispanic - Obsolete,Nov/02/1959 ,NULL,A,NULL,NULL,Unknown Number Of Employees,Private Employer
Mar/12/1998 ,Female,Mexican - Obsolete,Apr/03/1959 ,NULL,W,336399,All Other Motor Vehicle Parts Manufacturing,101 - 200 Employees,Private Employer
Mar/12/1998 ,Female,Other National Origin - Obsolete,Dec/06/1975 ,NULL,B,311999,All Other Miscellaneous Food Manufacturing,201 - 500 Employees,Private Employer
Mar/12/1998 ,Female,Other National Origin - Obsolete,Feb/25/1980 ,NULL,NULL,722110,Full-Service Restaurants,501+ Employees,Private Employer
Mar/12/1998 ,Female,Other National Origin - Obsolete,Sep/14/1960 ,NULL,B,522292,Real Estate Credit,15 - 100 Employees,Private Employer
Mar/12/1998 ,Female,Other National Origin - Obsolete,Sep/01/1945 ,NULL,W,339999,All Other Miscellaneous Manufacturing,101 - 200 Employees,Private Employer
Mar/12/1998 ,Female,Other National Origin - Obsolete,Dec/11/1950 ,NULL,W,333999,All Other Miscellaneous General Purpose Machinery Manufacturing,201 - 500 Employees,Private Employer
Mar/13/1998 ,Female,Other National Origin - Obsolete,Mar/08/1955 ,NULL,W,624310,Vocational Rehabilitation Services,15 - 100 Employees,Private Employer
Mar/13/1998 ,Female,Other National Origin - Obsolete,Feb/23/1977 ,NULL,B,339920,Sporting and Athletic Goods Manufacturing,15 - 100 Employees,Private Employer
Mar/13/1998 ,Female,Other National Origin - Obsolete,Jan/25/1981 ,NULL,W,722110,Full-Service Restaurants,501+ Employees,Private Employer
Mar/13/1998 ,Male,Other National Origin - Obsolete,Jan/15/1977 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Mar/13/1998 ,Female,Other National Origin - Obsolete,Feb/26/1966 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Mar/13/1998 ,Female,Other National Origin - Obsolete,Jun/19/1961 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Mar/16/1998 ,Female,Other National Origin - Obsolete,May/19/1955 ,NULL,B,561499,All Other Business Support Services,15 - 100 Employees,Private Employer
Mar/16/1998 ,Female,Other National Origin - Obsolete,Dec/31/1956 ,NULL,W,812990,All Other Personal Services,15 - 100 Employees,Private Employer
Mar/16/1998 ,Female,Other National Origin - Obsolete,May/23/1960 ,NULL,W,926110,Administration of General Economic Programs,501+ Employees,Private Employer
Mar/16/1998 ,Male,Other National Origin - Obsolete,Aug/03/1977 ,NULL,NULL,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
